% f=7.00Hz  Gain=3.2365(10.20dB)  Phase=-68.79deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        1.9800000000        -0.3467309592         2.1273894194        -2.8466547868
        1.9850000000        -0.2758081741         2.1641208887        -1.4504209780
        1.9900000000        -0.1916006812         2.2071353313        -1.5833956265
        1.9950000000        -0.0981644586         2.2541373296        -1.5833956265
        2.0000000000        -0.0000000000         2.5000000000        -1.8493449234
        2.0050000000         0.0981644586         2.7351961460        -1.1844716811
        2.0100000000         0.1916006812         2.7889828029        -1.1844716811
        2.0150000000         0.2758081741         2.8380965832        -0.3201364662
        2.0200000000         0.3467309592         2.8799503393         0.3447367761
        2.0250000000         0.4009529359         2.9122593257        -0.2536491419
        2.0300000000         0.4358624225         2.9332068281        -0.1206744935
        2.0350000000         0.4497779522         2.9415893042         0.0787874792
        2.0400000000         0.4420292628         2.9369193306        -0.1206744935
        2.0450000000         0.4129895816         2.9194688702         0.4777114246
        2.0500000000         0.3640576475         2.8902450178         2.4723311514
        2.0550000000         0.2975903394         2.8509026551         1.2755593153
        2.0600000000         0.2167891533         2.8036092209         1.6079959364
        2.0650000000         0.1255459977         2.7508827126         1.5415086122
        2.0700000000         0.0282557338         2.5000000000         1.6744832606
        2.0750000000        -0.0703955093         2.2679639325         1.1425846668
        2.0800000000        -0.1656560487         2.2202616783         1.2755593153
        2.0850000000        -0.2529375200         2.1758666348         0.4112241003
        2.0900000000        -0.3280358823         2.1371174876        -0.2536491419
        2.0950000000        -0.3873339122         2.1061463881        -0.7855477357
        2.1000000000        -0.4279754323         2.0847223900        -0.0541871692
        2.1050000000        -0.4480028841         2.0741047125        -0.3866237904
        2.1100000000        -0.4464516156         2.0749285652         0.1452748034
        2.1150000000        -0.4233963460         2.0871443917        -0.1206744935
        2.1200000000        -0.3799475665         2.1100226865        -2.0488068960
        2.1250000000        -0.3181980515         2.1422233970        -1.5169083022
        2.1300000000        -0.2411220577         2.1819161471        -1.7163702749
        2.1350000000        -0.1524320641         2.2269297288        -1.5833956265
        2.1400000000        -0.0563999551         2.5000000000        -2.0488068960
        2.1450000000         0.0423487410         2.5000000000        -1.1844716811
        2.1500000000         0.1390576475         2.7586463122        -1.5169083022
        2.1550000000         0.2290686371         2.8107595399        -1.0514970326
        2.1600000000         0.3080461977         2.8570649254        -0.0541871692
        2.1650000000         0.3721862584         2.8950842116         0.1452748034
        2.1700000000         0.4183994186         2.9227136473        -0.3201364662
        2.1750000000         0.4444597533         2.9383835146        -0.0541871692
        2.1800000000         0.4491120278         2.9411877384         0.0123001550
        2.1850000000         0.4321321586         2.9309629392         0.0787874792
        2.1900000000         0.3943380060         2.9083030237         0.4112241003
        2.1950000000         0.3375499813         2.8745066394         2.2063818545
        2.2000000000         0.2645033635         2.8314669659         1.2755593153
        2.2050000000         0.1787165508         2.7815222962         1.2755593153
        2.2100000000         0.0843215916         2.7272892259         1.6744832606
        2.2150000000        -0.0141348416         2.5000000000         1.4085339637
        2.2200000000        -0.1119104492         2.2472691881         1.2755593153
